-100,0
-11.9975,0
-11.4975,0
-10.9975,0
-10.4975,0
-9.9975,0
-9.4975,0
-8.9975,0
-8.4975,0
-7.9975,0
-7.4975,0
-6.9975,0
-6.4975,0
-5.9975,0
-5.4975,0
-4.9975,0
-4.4975,0
-3.9975,0
-3.4975,0
-2.9975,0
-2.4975,0
-1.9975,0
-1.4975,0
-0.9975,0
-0.4975,0
-.01,0
0.0025,7.2088
0.0075,26.6182
0.01,30.4644
0.0125,29.6803
0.015,30.7562
0.0175,34.1276
0.02,38.9233
0.025,44.1764
0.035,50.9497
0.045,54.4691
0.0825,60.136
0.1275,65.0493
0.22,72.084
0.2725,78.0252
0.435,87.5469
0.505,90.9053
0.625,94.7471
0.8,97.0556
0.885,96.9598
1.0275,94.1242
1.0725,90.1518
1.11,84.4196
1.1375,78.7832
1.1625,69.4879
1.1775,61.8087
1.21,40.339
1.2425,21.6135
1.2625,12.3051
1.2875,4.6607
1.3075,1.5593
1.3325,0.2657
1.6275,0
2.1275,0
2.6275,0
3.1275,0
3.6275,0
4.1275,0
4.6275,0
5.1275,0
5.6275,0
6.1275,0
6.6275,0
7.1275,0
7.6275,0
8.1275,0
8.6275,0
9.1275,0
9.6275,0
10.1275,0
10.6275,0
11.1275,0
100,0
