Time, Altitude, Velocity, Temperature (F), Voltage
0.00, 1, 0, 93.81, 4.16
0.05, 1, 0, 93.81, 4.16
0.10, 1, 0, 93.83, 4.16
0.15, 1, 0, 93.81, 4.16
0.20, 1, -1, 93.83, 4.16
0.25, 1, -2, 93.81, 4.16
0.30, 1, -2, 93.83, 4.16
0.35, 0, -2, 93.81, 4.16
0.40, 1, -1, 93.81, 4.16
0.45, 0, 1, 93.81, 4.16
0.50, 0, 2, 93.81, 4.16
0.55, 2, 3, 93.81, 4.16
0.60, 1, 5, 93.83, 4.16
0.65, 2, 8, 93.81, 4.16
0.70, 0, 14, 93.81, 4.16
0.75, 2, 24, 93.81, 4.16
0.80, 3, 37, 93.81, 4.16
0.85, 7, 53, 93.81, 4.16
0.90, 9, 72, 93.81, 4.16
0.95, 13, 95, 93.81, 4.16
1.00, 19, 121, 93.81, 4.16
1.05, 26, 148, 93.81, 4.16
1.10, 35, 173, 93.81, 4.16
1.15, 46, 193, 93.83, 4.16
1.20, 60, 209, 93.81, 4.16
1.25, 70, 221, 93.81, 4.16
1.30, 78, 233, 93.81, 4.16
1.35, 90, 246, 93.83, 4.16
1.40, 105, 261, 93.81, 4.16
1.45, 119, 278, 93.83, 4.16
1.50, 134, 292, 93.81, 4.16
1.55, 149, 304, 93.81, 4.16
1.60, 164, 310, 93.81, 4.15
1.65, 183, 311, 93.81, 4.15
1.70, 198, 308, 93.81, 4.15
1.75, 213, 301, 93.81, 4.15
1.80, 228, 290, 93.81, 4.15
1.85, 241, 281, 93.81, 4.15
1.90, 254, 272, 93.83, 4.15
1.95, 268, 265, 93.83, 4.15
2.00, 280, 260, 93.83, 4.15
2.05, 293, 256, 93.81, 4.15
2.10, 306, 253, 93.83, 4.15
2.15, 318, 251, 93.83, 4.15
2.20, 331, 249, 93.81, 4.15
2.25, 343, 247, 93.81, 4.15
2.30, 355, 245, 93.81, 4.15
2.35, 367, 243, 93.83, 4.15
2.40, 380, 241, 93.83, 4.15
2.45, 392, 238, 93.83, 4.15
2.50, 403, 234, 93.81, 4.15
2.55, 415, 231, 93.83, 4.15
2.60, 426, 227, 93.83, 4.15
2.65, 437, 225, 93.83, 4.15
2.70, 448, 222, 93.83, 4.15
2.75, 460, 220, 93.83, 4.15
2.80, 470, 218, 93.81, 4.15
2.85, 481, 215, 93.81, 4.15
2.90, 492, 212, 93.83, 4.15
2.95, 502, 210, 93.83, 4.15
3.00, 512, 209, 93.83, 4.15
3.05, 523, 207, 93.83, 4.15
3.10, 533, 207, 93.83, 4.15
3.15, 543, 206, 93.83, 4.15
3.20, 554, 204, 93.83, 4.15
3.25, 564, 202, 93.83, 4.15
3.30, 574, 199, 93.83, 4.15
3.35, 584, 196, 93.83, 4.15
3.40, 593, 193, 93.81, 4.15
3.45, 602, 190, 93.81, 4.15
3.50, 613, 187, 93.83, 4.15
3.55, 622, 185, 93.83, 4.15
3.60, 630, 183, 93.83, 4.15
3.65, 639, 181, 93.83, 4.15
3.70, 648, 179, 93.83, 4.15
3.75, 658, 177, 93.83, 4.15
3.80, 666, 175, 93.83, 4.15
3.85, 675, 173, 93.83, 4.15
3.90, 683, 171, 93.83, 4.15
3.95, 692, 169, 93.83, 4.15
4.00, 700, 168, 93.83, 4.15
4.05, 708, 166, 93.83, 4.15
4.10, 717, 164, 93.83, 4.15
4.15, 725, 162, 93.83, 4.15
4.20, 733, 160, 93.83, 4.15
4.25, 740, 158, 93.83, 4.15
4.30, 748, 157, 93.83, 4.15
4.35, 756, 156, 93.83, 4.15
4.40, 764, 155, 93.83, 4.15
4.45, 772, 153, 93.83, 4.15
4.50, 780, 151, 93.83, 4.15
4.55, 786, 149, 93.83, 4.15
4.60, 794, 146, 93.83, 4.15
4.65, 801, 144, 93.81, 4.15
4.70, 809, 142, 93.83, 4.15
4.75, 815, 139, 93.83, 4.15
4.80, 822, 137, 93.83, 4.15
4.85, 828, 135, 93.83, 4.15
4.90, 837, 133, 93.83, 4.15
4.95, 841, 131, 93.83, 4.15
5.00, 848, 130, 93.83, 4.15
5.05, 855, 129, 93.83, 4.15
5.10, 862, 128, 93.83, 4.15
5.15, 867, 125, 93.83, 4.15
5.20, 874, 123, 93.83, 4.15
5.25, 880, 120, 93.83, 4.15
5.30, 886, 117, 93.83, 4.15
5.35, 891, 114, 93.83, 4.15
5.40, 897, 113, 93.83, 4.15
5.45, 902, 112, 93.83, 4.15
5.50, 908, 111, 93.83, 4.15
5.55, 913, 111, 93.83, 4.15
5.60, 919, 111, 93.83, 4.15
5.65, 925, 110, 93.83, 4.15
5.70, 930, 108, 93.83, 4.15
5.75, 936, 105, 93.83, 4.15
5.80, 940, 101, 93.83, 4.15
5.85, 945, 98, 93.83, 4.15
5.90, 951, 95, 93.83, 4.15
5.95, 954, 93, 93.83, 4.15
6.00, 959, 92, 93.81, 4.15
6.05, 963, 92, 93.83, 4.15
6.10, 968, 91, 93.83, 4.15
6.15, 973, 90, 93.83, 4.15
6.20, 978, 89, 93.83, 4.15
6.25, 981, 87, 93.83, 4.15
6.30, 987, 85, 93.83, 4.15
6.35, 989, 83, 93.83, 4.15
6.40, 994, 82, 93.83, 4.15
6.45, 998, 81, 93.83, 4.15
6.50, 1002, 80, 93.83, 4.15
6.55, 1007, 78, 93.83, 4.15
6.60, 1009, 76, 93.83, 4.15
6.65, 1014, 73, 93.83, 4.15
6.70, 1017, 72, 93.83, 4.15
6.75, 1020, 71, 93.83, 4.15
6.80, 1024, 69, 93.83, 4.15
6.85, 1027, 68, 93.83, 4.15
6.90, 1031, 66, 93.83, 4.15
6.95, 1035, 63, 93.83, 4.15
7.00, 1037, 61, 93.83, 4.15
7.05, 1039, 60, 93.83, 4.15
7.10, 1042, 59, 93.83, 4.15
7.15, 1046, 59, 93.83, 4.15
7.20, 1049, 58, 93.83, 4.15
7.25, 1052, 58, 93.83, 4.15
7.30, 1054, 56, 93.83, 4.15
7.35, 1057, 54, 93.83, 4.15
7.40, 1060, 53, 93.83, 4.15
7.45, 1062, 51, 93.83, 4.15
7.50, 1065, 51, 93.83, 4.15
7.55, 1067, 49, 93.83, 4.15
7.60, 1070, 47, 93.83, 4.15
7.65, 1072, 45, 93.83, 4.15
7.70, 1074, 42, 93.83, 4.15
7.75, 1077, 40, 93.83, 4.15
7.80, 1077, 38, 93.83, 4.15
7.85, 1080, 37, 93.83, 4.15
7.90, 1081, 36, 93.83, 4.15
7.95, 1083, 35, 93.83, 4.15
8.00, 1086, 34, 93.83, 4.15
8.05, 1086, 33, 93.83, 4.15
8.10, 1089, 30, 93.83, 4.15
8.15, 1090, 28, 93.83, 4.15
8.20, 1090, 26, 93.83, 4.15
8.25, 1092, 25, 93.81, 4.15
8.30, 1093, 24, 93.83, 4.15
8.35, 1095, 23, 93.83, 4.15
8.40, 1096, 21, 93.83, 4.15
8.45, 1096, 21, 93.83, 4.15
8.50, 1097, 19, 93.83, 4.15
8.55, 1099, 18, 93.83, 4.15
8.60, 1099, 18, 93.83, 4.15
8.65, 1100, 15, 93.83, 4.15
8.70, 1102, 13, 93.83, 4.15
8.75, 1101, 10, 93.83, 4.15
8.80, 1102, 8, 93.81, 4.15
8.85, 1101, 7, 93.83, 4.15
8.90, 1102, 7, 93.83, 4.15
8.95, 1103, 7, 93.81, 4.15
9.00, 1103, 7, 93.83, 4.15
9.05, 1103, 6, 93.83, 4.15
9.10, 1104, 4, 93.83, 4.15
9.15, 1104, 2, 93.81, 4.15
9.20, 1103, -1, 93.83, 4.15
9.25, 1104, -3, 93.83, 4.15
9.30, 1103, -6, 93.81, 4.15
9.35, 1103, -8, 93.83, 4.15
9.40, 1102, -10, 93.81, 4.15
9.45, 1102, -12, 93.81, 4.15
9.50, 1101, -13, 93.83, 4.15
9.55, 1100, -14, 93.81, 4.15
9.60, 1100, -15, 93.81, 4.15
9.65, 1098, -16, 93.83, 4.15
9.70, 1098, -16, 93.81, 4.15
9.75, 1097, -17, 93.83, 4.15
9.80, 1096, -18, 93.83, 4.15
9.85, 1096, -20, 93.81, 4.15
9.90, 1094, -22, 93.81, 4.15
9.95, 1093, -24, 93.81, 4.15
10.00, 1092, -32, 93.81, 4.15
10.05, 1090, -40, 93.83, 4.15
10.10, 1089, -47, 93.81, 4.15
10.15, 1087, -54, 93.81, 4.15
10.20, 1086, -47, 93.83, 4.15
10.25, 1084, -41, 93.83, 4.15
10.30, 1083, -34, 93.81, 4.15
10.35, 987, -27, 93.83, 4.15
10.40, 1052, -25, 93.81, 4.15
10.45, 1078, -24, 93.83, 4.15
10.50, 1083, -22, 93.81, 4.15
10.55, 1089, -21, 93.81, 4.15
10.60, 1082, -22, 93.83, 4.15
10.65, 1069, -23, 93.81, 4.15
10.70, 1064, -25, 93.83, 4.15
10.75, 1063, -27, 93.81, 4.15
10.80, 1058, -28, 93.81, 4.15
10.85, 1054, -28, 93.83, 4.15
10.90, 1052, -28, 93.81, 4.15
10.95, 1049, -29, 93.83, 4.15
11.00, 1046, -29, 93.81, 4.15
11.05, 1046, -29, 93.81, 4.15
11.10, 1046, -29, 93.81, 4.15
11.15, 1045, -29, 93.83, 4.15
11.20, 1046, -29, 93.81, 4.15
11.25, 1043, -28, 93.81, 4.15
11.30, 1056, -28, 93.83, 4.15
11.35, 1052, -27, 93.81, 4.15
11.40, 1051, -28, 93.81, 4.15
11.45, 1061, -30, 93.83, 4.15
11.50, 1066, -33, 93.83, 4.15
11.55, 1058, -34, 93.83, 4.15
11.60, 1056, -35, 93.83, 4.15
11.65, 1049, -35, 93.83, 4.15
11.70, 1037, -34, 93.81, 4.15
11.75, 1038, -32, 93.83, 4.15
11.80, 1045, -31, 93.83, 4.15
11.85, 1043, -30, 93.81, 4.15
11.90, 1037, -29, 93.83, 4.15
11.95, 1028, -29, 93.83, 4.15
12.00, 1033, -30, 93.83, 4.15
12.05, 1037, -30, 93.83, 4.15
12.10, 1034, -31, 93.83, 4.15
12.15, 1025, -32, 93.81, 4.15
12.20, 1028, -32, 93.81, 4.15
12.25, 1028, -33, 93.81, 4.15
12.30, 1024, -35, 93.81, 4.15
12.35, 1022, -36, 93.83, 4.15
12.40, 1018, -37, 93.83, 4.15
12.45, 1014, -38, 93.83, 4.15
12.50, 1012, -39, 93.81, 4.15
12.55, 1010, -38, 93.83, 4.15
12.60, 1005, -37, 93.81, 4.15
12.65, 1000, -35, 93.83, 4.15
12.70, 996, -33, 93.81, 4.15
12.75, 996, -32, 93.81, 4.15
12.80, 999, -31, 93.81, 4.15
12.85, 997, -30, 93.83, 4.15
12.90, 992, -30, 93.81, 4.15
12.95, 989, -29, 93.83, 4.15
13.00, 987, -28, 93.81, 4.15
13.05, 985, -28, 93.81, 4.15
13.10, 984, -27, 93.81, 4.15
13.15, 983, -26, 93.81, 4.15
13.20, 983, -26, 93.81, 4.15
13.25, 982, -26, 93.83, 4.15
13.30, 983, -26, 93.83, 4.15
13.35, 983, -26, 93.81, 4.15
13.40, 983, -26, 93.83, 4.15
13.45, 984, -25, 93.81, 4.15
13.50, 983, -24, 93.81, 4.15
13.55, 981, -22, 93.81, 4.15
13.60, 981, -20, 93.81, 4.15
13.65, 981, -19, 93.81, 4.15
13.70, 980, -18, 93.81, 4.15
13.75, 981, -18, 93.81, 4.15
13.80, 979, -18, 93.81, 4.15
13.85, 978, -17, 93.81, 4.15
13.90, 978, -16, 93.81, 4.15
13.95, 980, -14, 93.81, 4.15
14.00, 978, -13, 93.81, 4.15
14.05, 979, -12, 93.81, 4.15
14.10, 978, -12, 93.81, 4.15
14.15, 978, -12, 93.81, 4.15
14.20, 977, -12, 93.81, 4.15
14.25, 974, -12, 93.81, 4.15
14.30, 970, -13, 93.81, 4.15
14.35, 966, -13, 93.81, 4.15
14.40, 965, -13, 93.81, 4.15
14.45, 964, -14, 93.81, 4.15
14.50, 966, -14, 93.81, 4.15
14.55, 966, -14, 93.81, 4.15
14.60, 966, -14, 93.81, 4.15
14.65, 963, -14, 93.81, 4.15
14.70, 962, -14, 93.81, 4.15
14.75, 961, -14, 93.81, 4.15
14.80, 961, -14, 93.81, 4.15
14.85, 962, -14, 93.81, 4.15
14.90, 962, -14, 93.81, 4.15
14.95, 962, -15, 93.81, 4.15
15.00, 962, -15, 93.81, 4.15
15.05, 962, -16, 93.79, 4.15
15.10, 961, -16, 93.81, 4.15
15.15, 960, -15, 93.81, 4.15
15.20, 959, -15, 93.81, 4.15
15.25, 959, -14, 93.81, 4.15
15.30, 957, -13, 93.81, 4.15
15.35, 957, -12, 93.81, 4.15
15.40, 956, -11, 93.81, 4.15
15.45, 955, -11, 93.81, 4.15
15.50, 954, -11, 93.79, 4.15
15.55, 954, -12, 93.79, 4.15
15.60, 953, -12, 93.81, 4.15
15.65, 953, -11, 93.81, 4.15
15.70, 953, -11, 93.79, 4.15
15.75, 952, -11, 93.81, 4.15
15.80, 953, -11, 93.81, 4.15
15.85, 952, -11, 93.79, 4.15
15.90, 950, -11, 93.79, 4.15
15.95, 948, -11, 93.79, 4.15
16.00, 948, -12, 93.81, 4.15
16.05, 947, -12, 93.79, 4.15
16.10, 947, -12, 93.79, 4.15
16.15, 946, -12, 93.79, 4.15
16.20, 946, -12, 93.79, 4.15
16.25, 946, -12, 93.79, 4.15
16.30, 945, -12, 93.79, 4.15
16.35, 944, -12, 93.81, 4.15
16.40, 943, -12, 93.79, 4.15
16.45, 944, -12, 93.79, 4.15
16.50, 943, -12, 93.79, 4.15
16.55, 942, -12, 93.79, 4.15
16.60, 941, -12, 93.81, 4.15
16.65, 940, -12, 93.79, 4.15
16.70, 940, -12, 93.79, 4.15
16.75, 941, -12, 93.79, 4.15
16.80, 941, -12, 93.79, 4.15
16.85, 941, -12, 93.79, 4.15
16.90, 940, -12, 93.79, 4.15
16.95, 938, -11, 93.79, 4.15
17.00, 938, -11, 93.79, 4.15
17.05, 937, -11, 93.79, 4.15
17.10, 938, -11, 93.79, 4.15
17.15, 936, -11, 93.79, 4.15
17.20, 935, -12, 93.79, 4.15
17.25, 934, -12, 93.79, 4.15
17.30, 933, -12, 93.79, 4.15
17.35, 932, -12, 93.79, 4.15
17.40, 932, -12, 93.79, 4.15
17.45, 932, -12, 93.79, 4.15
17.50, 931, -11, 93.79, 4.15
17.55, 930, -11, 93.79, 4.15
17.60, 930, -11, 93.79, 4.15
17.65, 929, -11, 93.79, 4.15
17.70, 929, -12, 93.79, 4.15
17.75, 928, -12, 93.79, 4.15
17.80, 928, -12, 93.79, 4.15
17.85, 926, -13, 93.79, 4.15
17.90, 927, -13, 93.79, 4.15
17.95, 927, -12, 93.79, 4.15
18.00, 926, -12, 93.79, 4.15
18.05, 925, -12, 93.79, 4.15
18.10, 924, -12, 93.78, 4.15
18.15, 924, -12, 93.79, 4.15
18.20, 922, -12, 93.79, 4.15
18.25, 922, -12, 93.79, 4.15
18.30, 921, -12, 93.79, 4.15
18.35, 920, -12, 93.79, 4.15
18.40, 921, -12, 93.79, 4.15
18.45, 921, -12, 93.78, 4.15
18.50, 919, -12, 93.79, 4.15
18.55, 920, -12, 93.78, 4.15
18.60, 919, -12, 93.78, 4.15
18.65, 918, -12, 93.79, 4.15
18.70, 916, -12, 93.79, 4.15
18.75, 916, -12, 93.79, 4.15
18.80, 916, -12, 93.79, 4.15
18.85, 915, -12, 93.78, 4.15
18.90, 914, -12, 93.78, 4.15
18.95, 915, -13, 93.79, 4.15
19.00, 914, -13, 93.78, 4.15
19.05, 913, -13, 93.79, 4.15
19.10, 911, -12, 93.79, 4.15
19.15, 911, -12, 93.78, 4.15
19.20, 911, -12, 93.79, 4.15
19.25, 910, -12, 93.78, 4.15
19.30, 910, -12, 93.79, 4.15
19.35, 909, -12, 93.78, 4.15
19.40, 909, -13, 93.78, 4.15
19.45, 910, -13, 93.78, 4.15
19.50, 907, -13, 93.78, 4.15
19.55, 907, -13, 93.79, 4.15
19.60, 906, -13, 93.79, 4.15
19.65, 907, -13, 93.78, 4.15
19.70, 905, -13, 93.78, 4.15
19.75, 904, -13, 93.78, 4.15
19.80, 904, -13, 93.78, 4.15
